trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
base,100,current_no_features_entropy,1.1608184752364965,-0.04471285600301639,-0.047405676441794414,-0.04199733629829025,0,24
base,100,refreshed_reference_entropy_delta,0.16304555515498356,0.006416305078157843,0.0037896314858839775,0.009202354682570836,20,24
base,100,refreshed_reference_entropy_delta_abs,0.2567971912044173,0.004211738554755969,0.0028383255967900593,0.005619147253187838,22,24
base,100,preceding_reference_entropy_delta,0.20775841115799998,0.05112916108117425,0.047238301102509345,0.055043285726478514,24,24
base,100,preceding_reference_entropy_delta_abs,0.2740303666027602,0.02144491395309885,0.016415374841636434,0.026196737188914406,22,24
base,100,attention_max_late_early_lift,1.2428593220103321,-0.030631406653365684,-0.10623391725099827,0.029477927621685905,13,24
base,100,attention_mean_late_early_lift,1.3752839983724563,-0.04890589676293557,-0.13192195346986102,0.014287270024619122,12,24
base,200,attention_train3_max,0.0622480017249204,0.029545518723698472,0.02396296645130573,0.03544265114044597,24,24
base,200,attention_train3_mean,0.011410277052788692,0.00534066210551231,0.004217865391931003,0.006521539724843803,24,24
base,200,attention_last8_max,0.07784277694703824,0.028318179442421598,0.02316597495801849,0.03365848292058391,24,24
base,200,attention_last8_mean,0.013216281527458539,0.004751664803321031,0.0037759288119737157,0.005790497920093423,24,24
base,200,attention_train3_max_lift,0.15744571835995183,0.07657343506848587,0.06624739911423409,0.08834085990418744,24,24
base,200,attention_train3_mean_lift,0.027628429584065903,0.013256881247809932,0.01170429137058513,0.014980658580016192,24,24
base,200,audio_entropy,0.9682425005226428,-0.08065958064004468,-0.08750446685521683,-0.07433018899435101,0,24
base,200,text_entropy,1.1495286512750353,-0.06523684570310846,-0.07246251208668701,-0.05825948363312166,0,24
base,200,entropy_delta,0.1812861507523926,0.015422734936936253,0.010741030754473444,0.0207654669914972,23,24
base,200,entropy_delta_abs,0.2801830088072879,0.009641956740430408,0.005799770369364446,0.013702532639984801,20,24
base,200,training_reference_entropy_delta_abs,0.29264320688892,0.04005775423925864,0.032446287490738135,0.0474719660235353,23,24
base,200,audio_silence_logprob_delta,0.3450899406738617,0.016059872051998145,0.011476628246453584,0.02136439224204423,24,24
base,200,current_no_features_entropy,1.1373024307232507,-0.06822890051626244,-0.07424408382544417,-0.062289187055205524,0,24
base,200,refreshed_reference_entropy_delta,0.16905993020060794,0.012430680123782234,0.00876897619821248,0.016211216811079027,21,24
base,200,refreshed_reference_entropy_delta_abs,0.26094540216472795,0.00835994951506664,0.006354386980866985,0.010660334744493325,23,24
base,200,preceding_reference_entropy_delta,0.19257597471385401,0.0359467246370283,0.03151905862866684,0.040974624790405506,24,24
base,200,preceding_reference_entropy_delta_abs,0.26848478075214205,0.01589932810248075,0.012364489509299163,0.019283333582065663,22,24
base,200,attention_max_late_early_lift,1.233891995537735,-0.03959873312596257,-0.31160358476142813,0.16968395724199167,15,24
base,200,attention_mean_late_early_lift,1.3217267844550966,-0.10246311068029539,-0.37928241383801203,0.1028361260848016,14,24
base,300,attention_train3_max,0.0930176983255796,0.06031521532435769,0.049735250374867424,0.07178370298697119,24,24
base,300,attention_train3_mean,0.016593310422692662,0.01052369547541628,0.008451350149602856,0.012675088559462188,24,24
base,300,attention_last8_max,0.10322068134438583,0.0536960838397692,0.04448983700369193,0.0634115125762737,24,24
base,300,attention_last8_mean,0.0172825485139336,0.008817931789796092,0.007104238648011118,0.010585076122092812,24,24
base,300,attention_train3_max_lift,0.2436642735271312,0.16279199023566523,0.13793467487002445,0.19218562989023605,24,24
base,300,attention_train3_mean_lift,0.0413592358457996,0.026987687509543626,0.023571109979996244,0.031059257859950312,24,24
base,300,audio_entropy,0.9523320600963733,-0.09657002106631407,-0.1064977118769327,-0.08777787752587404,0,24
base,300,text_entropy,1.1324746606733278,-0.08229083630481586,-0.09121062333295706,-0.07373159289274545,0,24
base,300,entropy_delta,0.1801426005769546,0.014279184761498254,0.008820204367028427,0.02001571121138395,21,24
base,300,entropy_delta_abs,0.2836934198677215,0.013152367800863998,0.009724869048270385,0.016869815678622828,23,24
base,300,training_reference_entropy_delta_abs,0.3064820251860967,0.05389657253643535,0.04463368919247168,0.06312078749347243,24,24
base,300,audio_silence_logprob_delta,0.35045987472572643,0.021429806103862956,0.016237893635821128,0.02681829307724897,24,24
